A9300017,JUNEAU MONTESSORI SCHOOL,2,3,750 SAINT ANNS AVE,DOUGLAS,00110,110,AK,02,99824,9073643535,215,7,No,2,50,2,,,,,,,,,,,,,54,4,1,0,0,0,3,0,0,2,33,1,2,1,3,3,25,0,0,0,75,0,0,2,30,JUNEAU,Association Montessori International (AMI),,,,,,,
00024021,JUNEAU SDA CHRISTIAN SCHOOL,6,13,4890 GLACIER HWY,JUNEAU,00110,110,AK,02,99801,9077804336,180,7,Yes,,,,1,1,2,,3,,,1,,,,,8,8,1,0,0,0,7,0,0,1,41,1,1,1,2,4,12.5,0,0,0,87.5,0,0,8,28,JUNEAU,School does not belong to ANY associations or organizations,,,,,,,
02001534,KODIAK CHRISTIAN SCHOOL,2,13,3300 E REZANOF DR,KODIAK,00150,150,AK,02,99615,9074864905,170,6.75,Yes,,8,5,2,4,10,7,10,7,7,7,,,,,67,59,2,2,3,1,37,3,11,6.6,33,1,1,1,2,3,3.38,3.38,5.08,1.69,62.71,5.08,18.64,8.93,8,KODIAK ISLAND,Association of Christian Schools International (ACSI),Other school association(s),,,,,,
A0300053,LIVING WORD ACADEMY,3,17,HC 62 BOX 5220,DELTA JUNCTION,00240,240,AK,02,99737,9073233033,180,7.25,Yes,,,1,,1,,,,1,,1,,2,,2,8,8,0,0,0,0,8,0,0,5.5,43,1,1,3,2,4,0,0,0,0,100,0,0,1.45,8,SOUTHEAST FAIRBANKS,School does not belong to ANY associations or organizations,,,,,,,
A9900095,LUMEN CHRISTI HIGH SCHOOL,12,17,8110D JEWEL LAKE RD,ANCHORAGE,00020,020,AK,02,99502,9072459231,180,6.75,Yes,,,,,,,,,,11,20,6,13,14,9,73,73,4,2,0,2,43,0,22,11.6,11,1,1,2,1,1,5.47,2.73,0,2.73,58.9,0,30.13,6.29,1,ANCHORAGE,National Catholic Educational Association (NCEA),,,,,,,
A0100446,NIKAITCHUAT ILISAGVIAT,2,3,PO BOX 389,KOTZEBUE,00188,188,AK,02,99752,9074424160,172,7,Yes,,11,1,,,,,,,,,,,,,12,1,1,0,0,0,0,0,0,2,33,1,7,1,3,3,100,0,0,0,0,0,0,0.5,30,NORTHWEST ARCTIC,School does not belong to ANY associations or organizations,,,,,,,
02001625,NORTH POLE CHRISTIAN SCHOOL,2,13,2936 BADGER RD,NORTH POLE,00090,090,AK,02,99705,9074880133,180,6,No,,19,9,4,5,1,1,,5,,1,,,,,45,26,0,0,0,0,26,0,0,6.1,23,1,1,1,2,2,0,0,0,0,100,0,0,4.26,8,FAIRBANKS NORTH STAR,Association of Christian Schools International (ACSI),,,,,,,
A0500047,NORTHERN LIGHT MENNONITE SCHOOL,6,13,PO BOX 879031,WASILLA,00170,170,AK,02,99687,9073576372,170,6.5,Yes,,,,2,2,,1,2,2,,1,,,,,10,10,0,0,0,0,10,0,0,2,41,1,1,1,2,4,0,0,0,0,100,0,0,5,24,MATANUSKA-SUSITNA,School does not belong to ANY associations or organizations,,,,,,,
A1500058,NORTHERN LIGHTS ACADEMY,11,11,181 CARLYLE WAY,FAIRBANKS,00090,090,AK,02,99709,9074595651,180,6,No,,,,,,,,,2,,,,,,,2,2,0,0,0,0,2,0,0,1,41,1,1,1,3,4,0,0,0,0,100,0,0,2,30,FAIRBANKS NORTH STAR,School does not belong to ANY associations or organizations,,,,,,,
A0100447,OPEN ARMS LUTHERAN CHILD DEVELOPMENT CENTER,3,3,2980 DAVIS RD,FAIRBANKS,00090,090,AK,02,99709,9074559466,180,6.5,Yes,,,11,,,,,,,,,,,,,11,11,,,,,,,,1,13,1,7,1,2,1,,,,,,,,11,20,FAIRBANKS NORTH STAR,National Association for the Education of Young Children (NAEYC),,,,,,,
